z	 ra	 dec
 0.397868	 4.070159	 0.658641
 0.416214	 3.378600	 0.644684
 0.421231	 3.208353	 0.296955
 0.398756	 2.609114	 0.296414
 0.250500	 4.351902	 0.472217
 0.357164	 2.610083	 0.869704
 0.434688	 0.168847	 0.005017
 0.435774	 2.328277	 0.727189
 0.443055	 2.109260	 0.341211
 0.169235	 3.035085	 0.038901
 0.186617	 4.164174	 0.180709
 0.446168	 2.787293	 0.248704
 0.416330	 6.065907	 -0.004751
 0.303370	 2.500363	 0.298142
 0.379744	 2.246975	 0.318796
 0.322246	 3.731241	 0.690055
 0.371763	 2.386968	 0.895191
 0.267008	 3.920255	 -0.049536
 0.289037	 3.084716	 0.014224
 0.218157	 4.227275	 0.377407
 0.334975	 3.319539	 0.721737
 0.258820	 2.191306	 0.329723
 0.396357	 4.226612	 0.661735
 0.257396	 2.055228	 0.772132
 0.283373	 3.641910	 0.790530
 0.256684	 2.763442	 0.780263
 0.244051	 4.307917	 0.599984
 0.369913	 3.026362	 0.864126
 0.215068	 3.905589	 0.070267
 0.375682	 3.627141	 0.944306
 0.287607	 0.752378	 0.010582
 0.210467	 3.407592	 0.927524
 0.367699	 2.078261	 0.705573
 0.263460	 0.960525	 -0.107134
 0.276801	 3.564198	 0.573068
 0.314426	 3.985669	 0.210068
 0.422071	 2.673416	 0.738601
 0.217350	 3.462243	 0.570101
 0.358598	 3.877738	 0.071236
 0.296492	 3.879416	 0.153655
 0.311959	 2.190372	 0.412386
 0.436692	 2.880205	 0.591163
 0.279108	 3.623217	 0.205499
 0.297297	 3.255871	 0.044968
 0.459036	 2.249474	 0.033156
 0.443241	 3.152284	 0.441053
 0.446580	 3.294008	 0.109244
 0.360588	 4.444339	 0.341758
 0.350907	 3.892426	 0.957970
 0.343443	 3.655921	 0.073172
 0.384580	 2.689938	 1.063070
 0.301363	 4.155726	 0.670868
 0.338265	 2.465236	 0.225069
 0.328401	 2.218481	 0.454523
 0.371071	 3.853104	 0.410541
 0.404288	 3.570294	 0.312510
 0.398989	 6.261234	 0.258738
 0.399290	 2.116013	 0.153744
 0.343111	 3.590443	 0.344003
 0.394282	 2.962048	 0.669912
 0.403097	 2.935342	 0.560615
 0.243852	 3.647592	 0.974294
 0.249983	 4.418832	 0.415096
 0.222867	 3.924223	 0.128414
 0.419702	 3.411178	 0.625950
 0.226971	 0.325935	 0.252720
 0.224665	 2.326788	 0.382189
 0.353862	 2.829943	 0.272587
 0.300371	 3.307899	 1.095830
 0.271933	 4.155025	 0.627655
 0.300066	 5.600599	 -0.142725
 0.425530	 2.984937	 0.993249
 0.389800	 2.136083	 0.120448
 0.356755	 3.778074	 0.836818
 0.346086	 3.298152	 0.745712
 0.231232	 2.139966	 0.719561
 0.403279	 2.565759	 0.706856
 0.341841	 3.154545	 0.172981
 0.314946	 3.264448	 0.511198
 0.243220	 3.457357	 0.313006
 0.175095	 2.713776	 0.774987
 0.460674	 4.053138	 0.499023
 0.335086	 0.624980	 -0.020579
 0.339843	 4.046938	 0.025481
 0.334208	 3.294542	 0.824916
 0.334242	 2.083644	 0.325064
 0.332947	 3.262450	 0.370398
 0.174827	 3.543285	 0.439081
 0.398584	 2.667818	 0.486497
 0.327275	 4.014864	 0.312065
 0.338452	 3.421261	 0.928278
 0.340588	 2.144775	 0.458582
 0.339363	 4.009741	 0.272635
 0.355625	 3.908659	 0.609671
 0.347104	 2.741384	 0.922650
 0.351074	 3.969319	 0.576294
 0.350134	 2.632472	 1.127858
 0.350167	 4.223207	 0.300447
 0.257603	 3.066500	 0.192881
 0.397500	 3.238163	 0.498208
 0.430807	 2.547754	 0.039580
 0.423813	 2.647097	 1.053534
 0.369540	 2.978488	 -0.020607
 0.162696	 3.142245	 0.524376
 0.257293	 0.723202	 -0.017617
 0.226195	 3.288663	 0.443081
 0.380781	 4.517439	 1.036458
 0.226309	 3.458963	 0.889960
 0.258848	 5.549367	 -0.011049
 0.256297	 5.713994	 0.192966
 0.260105	 2.792026	 0.542355
 0.258348	 0.302836	 0.253708
 0.371590	 2.291531	 0.487865
 0.374611	 4.040619	 0.023762
 0.378323	 2.561413	 1.169945
 0.318196	 2.170191	 0.218061
 0.181509	 2.422653	 0.823771
 0.318902	 2.368450	 0.905117
 0.315068	 6.187063	 0.005188
 0.385992	 3.796146	 0.042994
 0.319194	 3.243158	 1.026296
 0.320593	 4.251231	 0.155141
 0.288395	 3.599049	 0.107516
 0.321017	 1.983607	 0.498906
 0.384620	 4.418473	 0.515304
 0.425094	 3.927155	 0.887089
 0.314223	 2.519100	 0.709642
 0.429052	 2.903003	 0.521921
 0.317434	 3.708490	 -0.017103
 0.371178	 2.038032	 0.822749
 0.322354	 3.929163	 -0.017881
 0.457955	 2.782114	 0.708641
 0.395677	 2.585304	 0.259385
 0.458203	 3.645622	 0.553336
 0.353733	 2.502141	 1.165882
 0.355718	 3.049514	 0.963526
 0.357889	 2.864770	 0.211185
 0.325152	 2.164410	 0.727348
 0.356249	 2.908782	 0.200020
 0.416771	 3.424723	 0.482314
 0.329421	 2.285647	 0.701284
 0.328470	 3.152856	 0.434972
 0.357939	 3.983278	 0.921467
 0.457893	 2.964948	 0.651890
 0.168584	 4.114712	 -0.029722
 0.469203	 3.047055	 0.214446
 0.242184	 2.728330	 0.351118
 0.450564	 2.502425	 1.130728
 0.191151	 3.511658	 0.317714
 0.367289	 3.722236	 0.905529
 0.170576	 3.857769	 0.588137
 0.310346	 2.190341	 0.753424
 0.446617	 2.975793	 0.848810
 0.419395	 3.831673	 0.315844
 0.420943	 2.680942	 0.443459
 0.299647	 3.250464	 0.776119
 0.212393	 2.623599	 0.706310
 0.271694	 3.047960	 0.512409
 0.283593	 2.404527	 0.403535
 0.285213	 3.121257	 0.458244
 0.224720	 4.135961	 0.542424
 0.466788	 3.592277	 0.441017
 0.229824	 6.046571	 -0.172136
 0.188887	 4.106440	 0.072183
 0.368179	 4.414564	 0.574441
 0.181020	 2.222059	 0.445322
 0.286422	 6.065939	 0.015777
 0.265360	 2.909622	 0.589548
 0.245133	 3.888642	 0.423075
 0.267347	 3.671053	 0.891808
 0.447093	 3.371194	 0.109643
 0.442944	 3.294796	 0.575165
 0.237568	 2.747846	 0.932292
 0.233614	 3.318560	 0.368685
 0.416980	 2.180270	 0.939443
 0.339947	 3.065229	 0.918421
 0.330068	 4.413403	 0.590689
 0.381651	 2.514870	 0.577214
 0.381792	 6.145274	 0.269091
 0.252053	 3.215570	 0.003907
 0.416621	 0.355091	 0.000970
 0.261302	 3.026012	 0.704419
 0.260466	 3.277502	 0.039204
 0.410960	 2.950296	 -0.011536
 0.317460	 0.413045	 -0.166972
 0.359193	 2.554546	 0.885305
 0.426344	 2.391157	 0.540203
 0.428232	 3.370184	 0.334128
 0.357183	 2.262081	 0.482932
 0.327598	 3.402253	 0.374920
 0.435849	 3.240792	 0.248572
 0.444947	 0.101727	 0.003487
 0.441418	 0.335004	 0.003106
 0.433364	 2.365530	 0.468223
 0.457507	 3.051485	 0.387165
 0.425164	 3.728625	 0.226450
 0.465276	 2.513087	 0.355818
 0.304203	 3.581983	 0.596296
 0.382504	 2.189493	 0.486531
 0.319807	 2.283748	 0.835909
 0.357411	 3.051354	 0.292035
 0.382810	 2.384952	 0.096740
 0.382352	 3.853120	 0.713271
 0.381446	 6.040691	 0.259600
 0.357862	 2.581105	 0.297385
 0.174035	 3.956492	 0.418481
 0.455042	 4.088667	 0.310361
 0.306953	 2.599086	 0.041082
 0.254456	 2.046139	 0.436288
 0.355631	 2.866634	 0.509274
 0.284840	 3.576420	 -0.054105
 0.335252	 3.298489	 0.609080
 0.162661	 5.981915	 -0.164231
 0.306368	 2.297155	 1.074812
 0.356053	 2.754355	 0.680848
 0.279183	 2.898828	 0.380545
 0.439830	 4.330207	 0.764211
 0.219663	 2.709528	 0.409140
 0.220548	 0.333000	 0.268807
 0.287862	 3.639059	 -0.022586
 0.218700	 0.588920	 -0.133318
 0.326413	 2.338645	 0.297280
 0.336438	 3.480766	 0.293939
 0.336812	 2.401878	 0.606121
 0.178323	 2.385642	 0.299581
 0.246981	 2.890582	 0.261836
 0.358101	 4.082744	 0.111875
 0.287264	 3.584025	 0.544289
 0.370112	 4.322376	 0.384456
 0.347739	 4.315172	 0.418139
 0.291083	 2.358023	 1.095511
 0.342100	 3.229767	 0.122017
 0.175003	 4.251103	 0.474327
 0.251772	 3.249556	 0.480092
 0.252128	 4.090716	 0.426927
 0.251155	 3.224315	 0.140408
 0.386053	 2.766973	 0.007274
 0.428383	 3.684331	 0.191946
 0.377827	 3.040137	 0.846104
 0.374369	 5.661315	 0.002341
 0.434927	 2.174547	 0.968896
 0.439272	 3.079282	 0.336278
 0.325915	 2.869256	 0.671635
 0.329203	 3.895794	 -0.012416
 0.236579	 6.112651	 0.007081
 0.236525	 2.277044	 0.310594
 0.236681	 3.660044	 0.871860
 0.263903	 3.585857	 0.541147
 0.384403	 2.629386	 0.038692
 0.263350	 3.088301	 0.769202
 0.236993	 2.526129	 0.588840
 0.339796	 4.129570	 0.009997
 0.201317	 6.096627	 -0.004499
 0.292852	 2.544423	 0.424404
 0.339491	 2.051945	 0.258584
 0.398105	 6.181798	 -0.184968
 0.380400	 2.960273	 0.581418
 0.298883	 1.044590	 -0.118569
 0.310654	 3.110505	 0.845108
 0.353125	 3.550605	 0.026959
 0.430412	 4.026450	 0.161117
 0.368217	 5.867185	 -0.161874
 0.340590	 4.014924	 0.341278
 0.367906	 2.872257	 0.530701
 0.367817	 3.222406	 0.190938
 0.366043	 3.480662	 0.614782
 0.300416	 2.458433	 0.860432
 0.390877	 4.269818	 0.184950
 0.338079	 2.320853	 0.090154
 0.395286	 2.555107	 0.137028
 0.250809	 2.841843	 0.641313
 0.371632	 4.046334	 0.375444
 0.184929	 3.891665	 0.276226
 0.356965	 3.334979	 0.405124
 0.395956	 0.599041	 -0.006845
 0.396151	 3.493622	 0.537619
 0.422571	 3.488805	 0.637612
 0.403638	 3.261334	 -0.024488
 0.422176	 3.309301	 0.328070
 0.425240	 2.623766	 0.215482
 0.232540	 2.352549	 0.744601
 0.388807	 0.180247	 -0.194967
 0.390871	 3.040593	 0.600751
 0.334045	 3.472263	 0.533379
 0.208865	 2.543885	 0.466974
 0.336215	 2.490437	 0.464620
 0.163761	 3.197819	 -0.013103
 0.350130	 3.438448	 0.793019
 0.371608	 3.830867	 0.403152
 0.360683	 4.490442	 1.071373
 0.428986	 3.634014	 0.783596
 0.446893	 2.528247	 0.704655
 0.451702	 2.414549	 0.708206
 0.291067	 0.640831	 -0.010518
 0.209207	 3.898667	 0.349928
 0.357114	 2.480458	 0.128010
 0.227220	 2.583644	 1.216631
 0.355566	 4.155448	 0.236990
 0.402275	 3.503302	 0.722777
 0.261702	 3.560260	 0.348028
 0.351676	 3.872962	 1.070174
 0.363080	 4.139877	 0.822838
 0.199863	 2.059165	 0.284246
 0.354095	 3.815291	 0.358020
 0.347617	 3.651810	 0.399838
 0.341498	 2.719929	 0.206016
 0.327344	 3.265699	 0.175457
 0.364621	 2.637581	 0.231833
 0.406917	 2.793372	 0.223394
 0.253446	 3.991333	 0.201651
 0.303507	 3.459218	 0.995918
 0.226390	 3.997470	 0.826948
 0.253175	 2.337457	 0.615908
 0.178264	 0.803205	 -0.154179
 0.463228	 3.060936	 0.632756
 0.395288	 2.573083	 0.754078
 0.394541	 4.107558	 0.833885
 0.203983	 3.385460	 0.260996
 0.383243	 4.189502	 0.290655
 0.182297	 3.966582	 0.117158
 0.183523	 2.134774	 0.332643
 0.180089	 2.587777	 0.626564
 0.459040	 3.534193	 0.601569
 0.307009	 2.209246	 0.654900
 0.305192	 3.444892	 0.143963
 0.382637	 3.663680	 0.763818
 0.397336	 3.575008	 1.092682
 0.458721	 4.253022	 0.226967
 0.169736	 3.981103	 0.390517
 0.347446	 2.056527	 0.278570
 0.258349	 2.241878	 1.040009
 0.365449	 2.342983	 0.882372
 0.270820	 2.633138	 0.902910
 0.189532	 3.702261	 0.578402
 0.391592	 4.071068	 0.293827
 0.355426	 3.600510	 0.939059
 0.467268	 5.953988	 -0.172755
 0.347952	 3.390290	 0.991999
 0.347707	 2.154121	 0.985911
 0.347879	 4.259740	 0.349460
 0.394085	 4.590600	 1.024515
 0.428431	 3.412709	 0.030224
 0.469182	 3.336340	 0.329084
 0.390017	 2.851827	 0.455754
 0.369968	 3.241643	 0.729027
 0.382617	 4.188067	 0.186927
 0.331489	 0.010112	 -0.183333
 0.377561	 3.680174	 0.396224
 0.357189	 2.627523	 0.832308
 0.357128	 1.071121	 -0.083208
 0.426893	 3.226056	 1.141476
 0.422480	 2.077062	 0.195074
 0.381519	 4.507630	 1.000291
 0.212398	 3.779778	 0.706129
 0.449815	 2.273460	 0.885298
 0.314556	 4.212360	 0.594022
 0.313048	 3.942326	 0.244853
 0.355313	 3.515247	 0.117620
 0.227164	 4.174265	 0.099905
 0.236071	 2.508774	 1.094756
 0.378890	 5.436427	 0.021932
 0.244045	 2.732583	 0.830395
 0.419330	 3.279643	 1.077975
 0.320308	 4.191981	 0.281248
 0.330317	 4.153208	 0.086135
 0.208121	 3.697058	 0.440077
 0.384186	 3.619998	 0.400586
 0.418278	 2.607345	 0.772992
 0.358601	 3.527625	 0.855355
 0.256171	 4.286041	 0.519613
 0.361495	 2.831138	 0.724642
 0.459097	 2.703741	 0.831414
 0.429213	 2.824468	 1.025786
 0.358905	 4.103638	 0.091356
 0.217570	 2.331460	 0.463803
 0.184274	 2.565609	 0.924901
 0.185461	 3.686602	 -0.015061
 0.459352	 2.084447	 0.758183
 0.427175	 3.239231	 0.730880
 0.337779	 6.232045	 0.258314
 0.186700	 1.469051	 -0.003937
 0.467684	 3.695312	 1.000112
 0.179418	 3.304536	 0.735466
 0.374059	 3.517964	 0.559495
 0.358206	 2.733845	 0.444242
 0.353781	 3.858919	 0.432006
 0.338316	 5.702649	 0.001866
 0.346099	 3.961178	 0.360432
 0.354954	 2.870389	 0.190425
 0.277607	 4.189105	 0.842827
 0.167305	 3.276571	 0.434730
 0.324008	 2.899360	 1.141825
 0.321547	 4.147625	 0.662313
