z	 ra	 dec
 0.200037	 3.264840	 0.247012
 0.190955	 3.945425	 0.259854
 0.408915	 3.373439	 -0.005262
 0.363507	 3.557033	 0.436815
 0.181874	 2.304310	 0.442894
 0.419511	 2.933824	 0.029810
 0.360480	 3.480825	 -0.045123
 0.301449	 3.030663	 0.096008
 0.263609	 3.590361	 0.136556
 0.399834	 2.434001	 0.485591
 0.322640	 3.160948	 0.345876
 0.263609	 3.425692	 0.683010
 0.184901	 3.410017	 0.260127
 0.233336	 0.519764	 0.006516
 0.396806	 4.064642	 0.380398
 0.324153	 2.860887	 0.012304
 0.436160	 0.657341	 -0.162120
 0.240905	 2.108394	 0.301055
 0.421024	 3.880568	 0.433628
 0.322640	 3.407913	 -0.000360
 0.304476	 3.697897	 1.104330
 0.398320	 0.865400	 -0.005875
 0.389238	 2.614471	 0.981129
 0.417997	 4.368928	 0.772068
 0.419511	 3.053288	 0.176208
 0.361993	 3.283336	 1.102208
 0.463405	 0.749433	 -0.133008
 0.313558	 2.117069	 0.207026
 0.363507	 5.671720	 0.219834
 0.292367	 2.197409	 0.171293
 0.305990	 3.525739	 0.285667
 0.408915	 4.068552	 0.048175
 0.234850	 6.191845	 0.017064
 0.417997	 0.375614	 -0.160272
 0.321126	 3.196227	 0.367009
 0.197010	 3.096437	 0.091114
 0.408915	 2.365038	 0.215522
 0.231823	 3.383734	 0.394961
 0.411943	 2.424826	 0.101998
 0.307503	 4.169670	 0.455914
 0.425565	 3.175865	 0.203908
 0.213659	 4.159322	 0.945991
 0.419511	 0.104666	 0.015880
 0.392266	 2.129901	 0.277388
 0.183387	 3.979710	 0.957095
 0.399834	 2.998478	 0.709144
 0.363507	 4.037795	 0.669857
 0.402861	 3.556060	 0.797979
 0.455837	 4.174123	 0.804452
 0.310531	 3.646683	 0.790847
 0.392266	 0.239719	 0.254819
 0.322640	 3.278081	 0.767782
 0.402861	 0.587880	 0.018013
 0.304476	 3.880653	 -0.022336
 0.304476	 3.412843	 0.688049
 0.301449	 4.089920	 0.189178
 0.351398	 5.577687	 0.009031
 0.296908	 4.181647	 0.171627
 0.390752	 2.386675	 0.734712
 0.463405	 3.271594	 0.475441
 0.295395	 4.282136	 0.617591
 0.425565	 2.534059	 0.798387
 0.366534	 3.661418	 0.155129
 0.197010	 3.567890	 0.889618
 0.260581	 2.854115	 0.479192
 0.395293	 3.098446	 0.529069
 0.181874	 3.820911	 0.531702
 0.377130	 3.652173	 0.499583
 0.375616	 0.390879	 0.006646
 0.183387	 2.954334	 1.131888
 0.293881	 5.872680	 0.219497
 0.237877	 2.551195	 0.655665
 0.436160	 3.135354	 0.253354
 0.169765	 2.987160	 0.446211
 0.200037	 4.378717	 0.576580
 0.233336	 3.642865	 0.098858
 0.395293	 3.836929	 0.637404
 0.427079	 2.296504	 0.627180
 0.324153	 3.595072	 -0.051281
 0.201551	 4.386277	 0.496744
 0.305990	 4.432762	 1.122883
 0.449783	 2.231071	 0.659214
 0.374102	 3.664149	 0.229347
 0.354425	 4.356382	 0.688349
 0.321126	 2.275698	 0.530059
 0.352912	 3.501085	 0.414143
 0.436160	 2.720175	 -0.002849
 0.395293	 3.887338	 0.437497
 0.186414	 3.226827	 0.945625
 0.351398	 3.615369	 0.587279
 0.419511	 3.115568	 0.390579
 0.384698	 2.970896	 -0.012051
 0.389238	 2.797426	 0.131320
 0.301449	 3.958121	 0.169077
 0.419511	 2.872459	 0.326464
 0.183387	 4.306402	 0.348523
 0.322640	 2.532006	 0.771218
 0.396806	 4.259407	 0.217327
 0.259068	 2.834658	 0.742020
 0.239391	 3.978521	 0.225005
 0.419511	 3.802650	 0.806776
 0.396806	 2.132358	 0.131460
 0.183387	 2.521426	 0.454872
 0.197010	 2.491569	 0.516440
 0.331721	 4.039392	 -0.021953
 0.184901	 4.038673	 -0.011993
 0.165224	 3.681911	 0.321029
 0.312044	 0.869887	 0.014581
 0.354425	 4.221073	 0.203536
 0.190955	 6.237262	 -0.011403
 0.324153	 3.801496	 0.034275
 0.396806	 4.327474	 0.242339
 0.183387	 3.265327	 0.172073
 0.345344	 3.824930	 0.684891
 0.184901	 3.352967	 0.285340
 
